turndealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
0,16129.56522,13212.82051,13766.66667,10900,11062.5,8141.666667,,4497.478992,10088.88889,18000,6271.428571,
1,13609.63173,10996.77419,9551.630634,6943.991031,10022.72727,8485.02994,4778.571429,4614.95564,10357.02479,12000,4892.307692,
2,12807.21983,10391.94757,9547.642929,7012.117962,9616.913947,7936.160714,4950.364964,4275.616438,9835.920177,14727.27273,5145.652174,
3,13322.1928,10381.71953,9659.91415,6993.502224,8320.576132,7556.917363,4548.594378,4541.590721,9800.106496,15076.92308,4761.832061,
4,13387.92346,10420.2952,9790.684494,7114.039182,7948.489933,7325.341498,4623.076923,4513.938517,10072.98524,15120,5060.647359,
5,13505.3464,10484.59357,9859.390284,7247.715576,8174.341766,7515.396868,4746.545901,4604.364966,9917.931281,15019.86755,5034.622824,
6,13412.25275,10743.56436,10005.08912,7349.742209,8178.649237,7495.413776,4817.002836,4682.938696,9848.306215,15109.09091,4864.819277,
7,13501.50388,10766.11538,10078.13401,7473.338736,8289.310634,7494.64557,4776.235683,4752.661325,9791.813126,15085.71429,4960.480069,
8,13665.8367,10934.71465,10184.1692,7580.679305,8617.622081,7532.016851,4816.379701,4921.215427,9892.539747,15365.21739,4877.584442,
9,13843.47085,11017.28718,10393.65672,7774.669563,8634.310667,7420.854178,4882.326454,5079.34309,9824.495449,15258.42697,4978.744875,
10,14044.0249,11190.42795,10483.95353,7946.484978,8600.457256,7491.466739,5009.991608,5192.226114,9975.055544,15252.74725,5121.377672,
11,13991.50579,11367.10208,10744.95585,8136.097363,8669.52693,7450.292854,5041.273123,5410.813233,10052.36935,15373.08348,5181.932131,
12,14299.17864,11609.99052,10830.94503,8371.14986,9081.595768,7443.732088,5144.854774,5549.636388,10346.49551,15478.26087,5209.128065,
13,14398.38788,11572.52047,11099.39369,8491.342243,9084.755036,7524.965448,5280.202532,5706.490037,10195.24793,15587.23404,5509.187279,
14,14541.29191,11626.0311,11288.27825,8777.213861,9204.273264,7754.879555,5452.671422,6097.617572,10513.47391,15798.65772,5546.090335,
15,14878.96138,12063.64653,11521.91659,9059.561129,9236.444886,7722.16415,5595.397454,6316.889588,10650.85667,15309.78261,5725.379478,
16,15002.41287,11948.76033,12132.87197,9150.446429,9218.802123,7752.51996,5806.370531,6523.097334,10830.88578,15818.18182,5983.757485,
17,15259.09091,12155.9322,11106.38298,9430,10232.47423,8144.906687,6322.984103,6852.212146,10872.60982,16500,5391.438596,
18,18633.33333,11845.45455,8475,14000,10410.98901,8596.903461,6871.205357,7663.431786,10346.57534,17400,5277.48227,
turndealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
0,115,117,9,4,8,12,0,119,27,1,7,
1,353,248,2729,2230,198,167,14,789,121,2,39,
2,928,534,6979,5595,337,448,137,2920,451,11,92,
3,1888,1198,13279,10342,729,1077,498,7242,939,39,262,
4,3188,2168,20643,16283,1192,2123,1443,13825,1762,75,587,
5,4489,3174,27193,22150,1937,3767,3257,21054,2794,151,1034,
6,5460,4343,30634,25990,2754,5909,6346,27747,3749,220,1660,
7,6184,5079,31222,27148,3583,7900,9691,32202,4495,385,2333,
8,6185,5502,28274,25320,4239,9495,13242,33914,4906,460,2931,
9,5866,5345,23316,21638,4809,10794,15990,33277,5054,534,3171,
10,4979,4837,17817,16842,5030,11004,17875,31117,4951,546,3368,
11,3885,4134,12797,12325,4883,10244,18380,26782,4516,587,3271,
12,2922,3163,8095,8201,4537,9421,17249,22139,3895,483,2936,
13,2047,2198,4948,5163,4021,7959,15800,17966,3388,470,2547,
14,1223,1479,2602,2857,3557,6476,13738,14523,2798,447,2059,
15,751,894,1127,1276,3021,5166,11624,11439,2393,368,1647,
16,373,484,289,448,2638,4008,9230,8291,1716,352,1336,
17,88,118,47,70,970,2572,5221,3639,774,152,1425,
18,9,11,4,3,91,549,1344,711,146,30,564,
turnnondealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
0,9059.52381,8817.261905,6652.091255,5106.143345,5000,3742.5,3233.333333,2823.404255,7145,8000,,
1,9354.357459,7639.749329,6535.059129,4826.825151,5689.230769,4751.526718,2824,2613.953488,7057.425743,8000,3845.833333,
2,8864.792176,7173.561229,6640.240807,4855.335205,6283.173735,4763.458111,2550.561798,2635.932086,6769.80057,8923.076923,2965.853659,
3,8991.517588,7189.772983,6673.482001,4910.634509,5073.97454,4241.326725,2900.501882,2672.764315,6722.90227,9272.727273,2754.347826,
4,9010.849626,7132.970576,6815.511655,4985.805672,4623.780705,4135.804827,3053.750471,2668.10318,6544.338449,10206.89655,2882.528958,
5,9151.468631,7242.095639,6873.24966,5099.026969,4643.429389,4137.488568,2973.133451,2735.900811,6675.21991,10373.98374,2832.896461,
6,9267.522529,7348.779599,6959.138023,5201.927573,4464.89139,4144.406645,3040.103775,2784.116726,6630.457325,10256.17978,2924.439228,
7,9319.735082,7462.495886,7070.603332,5288.644978,4648.407526,4155.871872,3104.735189,2867.420387,6607.712714,10214.37579,2986.232407,
8,9527.059718,7631.527689,7218.160275,5423.176752,4729.854422,4212.988506,3135.140027,2960.944917,6675.145189,10231.54057,3084.019337,
9,9595.447848,7699.622616,7322.19124,5554.484458,4806.453983,4304.134344,3247.372557,3079.316009,6723.242105,10182.62806,3135.213395,
10,9727.913052,7840.605621,7428.322863,5684.61122,4963.527427,4338.684619,3326.77919,3204.974037,6739.331994,10230.76923,3261.583012,
11,9834.34762,7985.155141,7591.547524,5804.890227,5106.027038,4419.567561,3398.032235,3327.812355,6818.566868,10174.98532,3350.055894,
12,9970.721477,8000.490664,7775.79605,5984.724982,5187.259447,4536.447501,3512.055738,3463.093588,6887.475675,10290.80119,3553.91972,
13,10017.44798,8139.312903,7998.867352,6034.235192,5344.066955,4652.395294,3629.294184,3648.77938,7006.323582,10374.76341,3661.781964,
14,10163.85965,8258.23622,8125.131021,6319.596929,5494.17272,4790.130199,3713.761597,3817.266171,7094.519822,10440.77135,3768.50019,
15,10312.17737,8430.260181,8567.558299,6580.146699,5722.148162,4825.935254,3858.457013,3980.086832,7190.957923,10463.81579,3896.358154,
16,10743.71585,8348.584906,8932.508834,6657.543103,5730.046739,4916.090952,3931.939813,4115.803702,7330.073541,10620.55716,4077.116844,
17,10610.29412,8073.684211,9455.555556,7340,6366.167024,5192.895054,4196.965824,4378.346045,7538.294737,10746.05103,3934.582669,
18,8780,7200,10633.33333,6600,6845.400943,5482.701422,4767.68394,4873.131041,7856.924316,11356.94823,3863.854458,
turnnondealer,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
0,42,168,263,293,2,40,3,94,20,1,0,
1,1354,1117,6934,7109,65,262,25,645,101,1,24,
2,2454,2311,16943,17094,731,1122,178,2886,351,13,123,
3,4975,4449,31390,32009,1414,2623,797,9326,1013,44,414,
4,8286,7443,47835,47991,2809,5759,2653,22485,2411,116,1036,
5,11269,10937,61031,61663,4893,10934,6804,42545,4661,246,2289,
6,13982,13725,67728,70140,7642,17637,13298,64527,7522,445,3834,
7,14948,15193,65851,69652,10895,24694,22280,83718,10178,793,5542,
8,14468,15710,57813,62183,13807,30450,31494,95437,12742,1097,7240,
9,12895,14574,46622,51121,16331,34419,39449,99241,14250,1347,7943,
10,10719,12417,34541,38788,17191,34758,44613,93787,14431,1560,8288,
11,8446,9862,23851,27238,16791,33392,46347,84031,14095,1703,8051,
12,5960,7337,14886,17617,15745,29810,44709,70714,12847,1685,7424,
13,3989,5123,8564,10349,14099,24903,41073,57266,11212,1585,6476,
14,2565,3175,4007,5210,12390,20507,35461,44787,9434,1452,5254,
15,1511,1768,1458,2045,10502,16279,30253,34319,7819,1216,4311,
16,549,636,283,464,8986,12622,24590,26633,6391,1041,3295,
17,68,95,9,40,5137,8290,17995,19142,4750,823,3762,
18,5,7,3,3,848,1688,6619,8173,2484,367,2501,
other yaku,['Chankan', 'Rinshan', 'Haitei', 'Houtei', 'Chanta', 'Itsu', 'Doujun', 'Doukou', 'Sankantsu', 'Toitoi', 'Sanankou', 'Junchan']
other yaku,[99,911,2238,2941,11743,21583,47728,684,7,18413,3134, 8978]
tanyao doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,2356.446314,3859.323281,4052.873258,4303.162827,4496.495651,4208.589376,4058.399223,3812.106046,2339.175968,2332.296664,,
1,3727.171216,5112.856013,5355.129741,5494.330822,5580.38633,5400.883652,5286.134106,5009.622721,3781.87251,3841.081517,,
2,5963.235294,7203.378378,6920.699708,7140.151515,7628.400598,7129.949239,7023.94822,6625.316456,5603.030303,6023.178808,,
3,8425,9432.412523,9587.456446,9444.357977,9868.023256,9669.285714,9304.334365,9218.75,9616.666667,9800,,
4,14200,11738.09524,12681.81818,13207.54717,11802.98507,14095.2381,13605.6338,11774.72527,13777.77778,12588.23529,,
5,12000,13800,13750,14333.33333,14434.78261,12000,14000,19200,12000,20000,,
tanyao doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,7609,8157,7535,7683,7933,7323,7209,7393,7257,18553,,
1,1612,2528,2505,2787,2019,2716,2416,2359,1506,3717,,
2,68,148,343,528,669,394,309,158,66,151,,
3,8,543,287,257,172,280,323,560,12,25,,
4,10,84,44,53,134,42,71,91,9,34,,
5,1,10,8,6,23,5,10,10,1,3,,
yakuhai doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,3699.785039,3871.510757,4051.497496,4135.12449,4165.040501,4040.861527,4023.35784,3878.482233,3719.338687,3791.685823,,
1,4690.257754,4876.438923,4778.500986,4985.083371,4924.766355,4992.48366,4899.808869,4802.29983,4784.964413,5235.109045,,
2,6676.923077,6585.333333,6637.313433,6348.319328,7036.027714,6727.312775,6561.256545,6371.186441,6595.945946,6700,,
3,10003.92562,10237.87879,10007.89474,10438.76404,10407.63359,10371.52318,10112.44019,9772.672673,9796.892139,9614.806831,,
4,13121.95122,12656.25,13884.61538,13343.75,11257.14286,13949.36709,14370.37037,13327.27273,12873.95833,12100.49423,,
5,15714.28571,14000,16333.33333,19000,16000,14750,13000,13600,15230.76923,15736.84211,,
yakuhai doracalled,1,2,3,4,5,6,7,8,9,Honor,,
0,20934,20685,20768,21327,21728,21311,20811,20741,21170,41327,,
1,2289,2415,2535,2219,1712,2142,2616,2348,2248,2797,,
2,65,75,201,238,433,227,191,59,74,66,,
3,484,264,190,178,131,151,209,333,547,6031,,
4,82,64,52,64,105,79,54,66,96,607,,
5,7,10,6,8,18,8,4,5,13,38,,
dora discarded,Tsumo,Ron,Tsumo,Ron,Tsumo,Ron,Tanyao,Yakuhai,Honitsu,Chinitsu,Other,
0,9536,7681,7171,5390,5302,4618,3739,3393,7004,10555,3548,
1,9152,7318,6808,5115,4580,3906,2761,2839,6650,10096,3061,
2,9053,7190,6528,4848,4377,3564,2484,2634,6610,9833,2917,
3,8888,7499,6485,4782,4134,3635,2424,2694,6675,9815,2617,
4,8950,5150,5489,4292,3758,3214,2172,2495,6334,11429,2292,
,,,,,,,,,,,,
,ippatsu tsumo,ippatsu ron,riichi tsumo,riichi ron,dama tsumo,dama ron,tanyao,yakuhai,honitsu,chinitsu,other open yaku,
dealin tile,,,,,,,,,,,,
19,,7104,,4825,,3821,,2795,6323,10043,3203,
28,,7270,,5037,,4169,2926,2671,6128,9803,2815,
34567,,7662,,5363,,4337,3268,2956,6228,10110,3038,
honor,,8193,,5859,,4829,,3481,7182,,3530,
dora,,9773,,7556,,6950,5964,5845,9923,14085,6063,
dorasoba,,8104,,5843,,5174,4038,3353,7754,12733,3389,
