,sanmenchan,ryanmen,single
1,1659,6680,431
2,1621,7568,2522
3,1621,8533,4456
4,0,8352,2010
5,0,7620,1872
6,0,6804,1920
7,0,0,4713
8,0,0,2527
9,0,0,432
honor,0,0,1973
,1,2,3,4,5,6,7,8,9,honor
1,52,172,143,115,159,116,99,156,163,411
2,0,57,276,148,150,106,118,160,144,438
3,0,0,30,204,117,70,105,106,125,371
4,0,0,0,22,199,76,77,111,118,346
5,0,0,0,0,32,198,115,146,143,440
6,0,0,0,0,0,14,191,140,113,373
7,0,0,0,0,0,0,36,270,143,352
8,0,0,0,0,0,0,0,62,206,419
9,0,0,0,0,0,0,0,0,81,427
honor,0,0,0,0,0,0,0,0,0,374
Total riichi,85230
Complex waits,7282