No call,Shanten,Width,4,6,8,10,12
0,6,0,17,7,10,2,5
1,5,0,417,188,108,70,42
2,4,0,5123,1427,593,401,232
3,3,80,593,250,85,34,20
4,3,76,874,366,115,54,24
5,3,72,1336,543,203,91,53
6,3,68,1528,657,223,94,52
7,3,64,1632,670,255,125,72
8,3,60,1854,728,282,139,90
9,3,56,1985,860,355,126,74
10,3,52,2250,1107,452,189,101
11,3,48,2312,1107,447,182,80
12,3,44,2025,964,344,143,74
13,3,40,1635,622,229,103,64
14,3,36,1394,636,296,106,51
15,3,32,1721,848,329,115,47
16,3,28,2094,888,320,111,60
17,3,24,1922,665,230,74,40
18,3,20,2790,969,365,180,125
19,3,16,418,126,60,24,21
20,3,12,4,1,2,2,2
21,3,8,0,0,0,0,0
22,3,4,0,0,0,0,0
23,2,60,1678,1234,603,265,131
24,2,56,1252,840,406,187,85
25,2,52,1435,1000,513,261,141
26,2,48,1615,1148,653,300,152
27,2,44,1607,1221,701,375,202
28,2,40,1545,1316,779,426,229
29,2,36,1629,1476,942,466,195
30,2,32,1931,1837,1180,546,213
31,2,28,3235,3160,1983,955,393
32,2,24,6375,5624,3457,1552,633
33,2,20,8468,6436,3395,1466,579
34,2,16,7391,4538,2112,870,343
35,2,12,7340,4423,2135,1004,513
36,2,8,339,177,78,36,17
37,2,4,0,0,0,0,0
38,1,40,527,753,597,330,171
39,1,36,407,589,477,314,192
40,1,32,375,516,466,338,179
41,1,28,381,615,626,476,277
42,1,24,460,702,790,563,337
43,1,20,1204,2004,2135,1623,931
44,1,16,3880,6326,6276,4397,2309
45,1,12,6888,9068,7599,4813,2509
46,1,8,5950,6790,5330,3307,1747
47,1,4,740,881,653,388,212
48,0,0,726,1670,2348,2336,1884
1 call,Shanten,Width,4,6,8,10,12
0,6,0,0,0,0,0,0
1,5,0,13,9,2,2,2
2,4,0,199,89,31,12,7
3,3,80,33,14,3,1,6
4,3,76,55,15,5,4,2
5,3,72,108,40,18,9,5
6,3,68,133,56,16,5,9
7,3,64,128,47,24,10,1
8,3,60,131,73,33,10,10
9,3,56,161,65,26,11,8
10,3,52,176,85,38,20,8
11,3,48,153,69,22,16,6
12,3,44,105,55,22,17,7
13,3,40,78,53,26,9,3
14,3,36,124,88,35,12,5
15,3,32,107,75,34,18,7
16,3,28,58,37,25,4,0
17,3,24,39,32,17,9,3
18,3,20,10,11,8,4,0
19,3,16,5,5,1,0,0
20,3,12,0,0,0,0,0
21,3,8,0,0,0,0,0
22,3,4,0,0,0,0,0
23,2,60,210,174,99,39,19
24,2,56,152,144,56,34,11
25,2,52,200,153,83,35,18
26,2,48,247,163,100,54,42
27,2,44,276,239,139,80,46
28,2,40,292,261,157,72,31
29,2,36,258,182,90,51,30
30,2,32,184,183,133,61,29
31,2,28,407,392,258,141,55
32,2,24,787,747,478,248,95
33,2,20,1127,966,580,259,108
34,2,16,1012,771,417,197,86
35,2,12,494,367,187,105,51
36,2,8,105,73,51,21,7
37,2,4,1,2,0,0,3
38,1,40,84,137,99,76,49
39,1,36,78,145,105,98,64
40,1,32,77,112,131,99,70
41,1,28,79,166,152,124,91
42,1,24,154,237,247,189,111
43,1,20,319,577,596,454,274
44,1,16,959,1573,1614,1142,649
45,1,12,1672,2426,2208,1506,903
46,1,8,1238,1446,1195,704,429
47,1,4,152,216,214,160,97
48,0,0,945,2323,3502,3556,2897
2 or 3 call,Shanten,Width,4,6,8,10,12
0,6,0,0,0,0,0,0
1,5,0,0,0,0,0,0
2,4,0,1,3,1,1,1
3,3,80,2,0,0,0,0
4,3,76,0,0,2,1,0
5,3,72,3,2,1,0,0
6,3,68,4,2,1,2,0
7,3,64,3,1,0,1,0
8,3,60,3,3,0,2,2
9,3,56,5,2,2,2,1
10,3,52,6,1,1,2,0
11,3,48,8,5,1,2,1
12,3,44,7,9,5,1,0
13,3,40,9,1,4,2,0
14,3,36,10,10,1,1,0
15,3,32,6,11,10,1,0
16,3,28,1,4,0,0,0
17,3,24,1,2,1,0,0
18,3,20,1,0,1,0,0
19,3,16,0,0,0,0,0
20,3,12,0,0,0,0,0
21,3,8,0,0,0,0,0
22,3,4,0,0,0,0,0
23,2,60,23,12,8,4,3
24,2,56,25,22,15,9,5
25,2,52,21,27,15,9,5
26,2,48,36,32,28,13,13
27,2,44,39,45,26,19,8
28,2,40,68,46,29,20,13
29,2,36,54,46,41,22,13
30,2,32,49,77,49,35,17
31,2,28,56,72,59,43,24
32,2,24,56,67,48,21,21
33,2,20,38,42,37,18,8
34,2,16,30,30,31,14,4
35,2,12,14,17,16,8,4
36,2,8,1,0,0,0,0
37,2,4,0,0,0,0,0
38,1,40,28,53,42,22,15
39,1,36,43,80,74,53,34
40,1,32,37,78,74,58,41
41,1,28,33,78,93,66,59
42,1,24,79,146,166,123,87
43,1,20,129,236,271,199,141
44,1,16,327,566,596,408,239
45,1,12,479,761,715,551,331
46,1,8,288,494,471,324,212
47,1,4,41,83,90,64,30
48,0,0,757,2196,3417,3726,3007
,,Any Riichi counts,1939,4955,7938,8966,8003
,,Hands,31971